@relation statistic_data_set

@attribute compression numeric
@attribute entropy numeric
@attribute languageIC numeric
@attribute longestWord numeric
@attribute fileSize numeric
@attribute class {yes,no}

@data
0.434867,5.370893,0.033021,2564,2564,yes
0.671769,5.545852,0.022749,588,588,yes
0.688559,5.490289,0.02447,472,472,yes
0.793919,5.495547,0.022584,296,296,yes
0.746951,5.394398,0.030581,328,328,yes
0.590909,5.633219,0.021905,924,924,yes
0.511132,5.726251,0.020564,4312,4312,yes
0.773936,5.539067,0.022582,376,376,yes
0.284733,5.648911,0.022891,56920,56920,yes
0.368891,5.648907,0.02254,16696,16696,yes
0.674901,5.517922,0.025502,1012,1012,yes
0.404551,5.510973,0.028232,3384,3384,yes
0.307499,4.993734,0.058304,7148,7148,yes
0.353172,5.370364,0.0329,5612,5612,yes
0.342944,5.620545,0.023611,14880,14880,yes
0.683761,5.561587,0.022328,468,468,yes
0.509443,5.42614,0.033386,2012,2012,yes
0.532772,5.650768,0.021981,3204,3204,yes
0.444877,5.648914,0.022716,7964,7964,yes
0.476991,5.482285,0.027567,2260,2260,yes
0.421008,5.40964,0.031396,2380,2380,yes
0.395446,5.435524,0.031068,6676,6676,yes
0.537437,5.487181,0.029196,1576,1576,yes
0.511218,5.68325,0.021675,3120,3120,yes
0.428484,5.313167,0.036861,1636,1636,yes
0.381371,5.411964,0.033115,10124,10124,yes
0.513671,5.602652,0.023753,5852,5852,yes
0.21931,5.445723,0.030896,8928,8928,yes
0.361247,5.448025,0.02783,3272,3272,yes
0.231794,5.614471,0.023944,84256,84256,yes
0.240507,5.332163,0.03631,13800,13800,yes
0.632353,5.413224,0.027976,544,544,yes
0.380361,5.642368,0.022873,12404,12404,yes
0.663717,5.582451,0.023251,904,904,yes
0.442433,5.734857,0.020388,7348,7348,yes
0.371155,5.481672,0.030818,5332,5332,yes
0.294538,5.619853,0.023594,61004,61004,yes
0.609729,5.627887,0.021733,884,884,yes
0.387707,5.570707,0.025833,5076,5076,yes
0.49446,5.647438,0.022502,5596,5596,yes
0.441459,5.501067,0.026805,2084,2084,yes
0.293328,5.175193,0.044539,18764,18764,yes
0.408834,5.622252,0.023196,7788,7788,yes
0.466403,5.442777,0.029453,2024,2024,yes
0.412141,5.245824,0.039841,2504,2504,yes
0.731481,5.592544,0.022744,540,540,yes
0.409652,5.649436,0.022641,11024,11024,yes
0.372713,5.680573,0.021835,5028,5028,yes
0.347256,5.694399,0.021364,9912,9912,yes
0.829787,4.564826,0.11065,188,188,yes
0.782967,5.593222,0.022765,364,364,yes
0.276569,5.609797,0.023836,31352,31352,yes
0.345287,4.851357,0.065607,1952,1952,yes
0.717187,5.576793,0.0232,640,640,yes
0.413422,5.410498,0.032281,1952,1952,yes
0.27194,5.673235,0.021838,15588,15588,yes
0.683824,5.528723,0.023798,680,680,yes
0.49211,5.680447,0.021768,4056,4056,yes
0.598,5.611946,0.024532,1500,1500,yes
0.339599,5.60823,0.02394,20268,20268,yes
0.29081,5.25932,0.041681,13232,13232,yes
0.383789,5.618329,0.023218,6144,6144,yes
0.531654,5.490413,0.026851,1548,1548,yes
0.655242,5.504978,0.024413,496,496,yes
0.425862,5.006079,0.053948,1160,1160,yes
0.270969,5.4353,0.031206,6152,6152,yes
0.120562,5.30718,0.037494,23432,23432,yes
0.464141,5.369189,0.035395,1980,1980,yes
0.219129,5.365664,0.0385,50856,50856,yes
0.280153,5.458493,0.03201,11276,11276,yes
0.669173,5.553682,0.022804,532,532,yes
0.388646,5.64173,0.023111,12788,12788,yes
0.466772,5.425192,0.032662,2528,2528,yes
0.320317,5.654114,0.022691,20436,20436,yes
0.500845,5.301441,0.036607,1184,1184,yes
0.336792,5.007387,0.055008,5300,5300,yes
0.256294,5.731846,0.0209,19860,19860,yes
0.549296,5.467181,0.028141,1136,1136,yes
0.90625,5.450375,0.018086,128,128,yes
0.353874,5.50599,0.031011,9396,9396,yes
0.529155,5.462161,0.026905,1372,1372,yes
0.364158,5.615406,0.0239,18124,18124,yes
0.677165,5.546041,0.022846,508,508,yes
0.284475,5.330102,0.036427,17172,17172,yes
0.298365,4.993172,0.058405,10276,10276,yes
0.392609,5.538887,0.025543,5764,5764,yes
0.717626,5.63932,0.020935,556,556,yes
0.433504,5.478452,0.027043,1564,1564,yes
0.690476,5.541501,0.022815,504,504,yes
0.361081,5.01241,0.055856,3736,3736,yes
0.337481,5.4579,0.029151,5224,5224,yes
0.373086,5.522816,0.026745,3396,3396,yes
0.431268,5.527846,0.02663,2808,2808,yes
0.285393,5.514568,0.029863,7996,7996,yes
0.273026,5.412064,0.035021,24928,24928,yes
0.313357,5.147201,0.046483,14884,14884,yes
0.117009,5.303177,0.037693,21024,21024,yes
0.309486,5.669173,0.022026,11196,11196,yes
0.54927,5.531302,0.023039,548,548,yes
0.37746,5.528492,0.027991,4472,4472,yes
0.224161,5.554459,0.025663,27904,27904,yes
0.49055,5.548236,0.024562,1164,1164,yes
0.509276,5.730481,0.020329,4312,4312,yes
0.807018,5.489411,0.021447,228,228,yes
0.788265,5.56636,0.022431,392,392,yes
0.273322,5.62224,0.023674,31944,31944,yes
0.304767,5.36169,0.03492,7468,7468,yes
0.432368,5.666495,0.022164,4628,4628,yes
0.845238,5.430547,0.020673,168,168,yes
0.484716,5.473458,0.028375,1832,1832,yes
0.536765,5.634886,0.022649,1224,1224,yes
0.457547,5.401154,0.03158,2120,2120,yes
0.587358,5.597455,0.023836,1408,1408,yes
0.482059,5.663739,0.021928,5128,5128,yes
0.573705,5.526737,0.027396,1004,1004,yes
0.338167,5.338396,0.036912,1724,1724,yes
0.427343,5.654704,0.023056,12676,12676,yes
0.48481,5.500726,0.027485,1580,1580,yes
0.605847,5.492808,0.025972,992,992,yes
0.646053,5.650028,0.021999,760,760,yes
0.30481,5.673627,0.022054,86444,86444,yes
0.437441,5.654897,0.022689,8504,8504,yes
0.320396,5.639705,0.023154,41096,41096,yes
0.619898,5.609409,0.022571,784,784,yes
0.716418,5.380777,0.024596,268,268,yes
0.426742,5.653273,0.022489,7576,7576,yes
0.371985,5.63828,0.022996,16584,16584,yes
0.417693,5.358864,0.034808,8444,8444,yes
0.481761,5.626018,0.022947,5428,5428,yes
0.590463,5.647241,0.0221,2852,2852,yes
0.321367,5.488506,0.030004,6936,6936,yes
0.429926,5.343918,0.035044,4324,4324,yes
0.402083,5.463119,0.029886,1920,1920,yes
0.23678,5.448843,0.029808,17020,17020,yes
0.46337,5.450184,0.029316,1092,1092,yes
0.490991,5.409817,0.030766,1776,1776,yes
0.383797,5.58164,0.024263,5172,5172,yes
0.467754,5.396751,0.031608,2636,2636,yes
0.372673,5.534389,0.027851,4728,4728,yes
0.424658,5.415324,0.031456,3212,3212,yes
0.75,5.142075,0.02961,176,176,yes
0.389157,5.497262,0.028863,3320,3320,yes
0.263466,5.581719,0.025123,15520,15520,yes
0.496454,5.621492,0.023138,4512,4512,yes
0.416667,4.81423,0.06702,996,996,yes
0.672515,5.608511,0.022185,684,684,yes
0.392126,5.424087,0.02926,2540,2540,yes
0.427223,5.68669,0.022344,5084,5084,yes
0.546791,5.607823,0.021755,748,748,yes
1,5.290854,0.01899,100,100,yes
0.443866,5.735617,0.020401,7304,7304,yes
0.474794,5.422235,0.03322,1944,1944,yes
0.323941,5.427649,0.034141,9156,9156,yes
0.302164,5.020097,0.053627,7764,7764,yes
0.582849,5.396508,0.029781,688,688,yes
0.367472,5.389739,0.033428,5712,5712,yes
0.387378,5.629322,0.023159,9048,9048,yes
0.287274,5.637695,0.023421,68896,68896,yes
0.413903,5.612804,0.023619,3136,3136,yes
0.34684,5.38225,0.033865,9872,9872,yes
0.629252,5.525208,0.024893,588,588,yes
0.409465,4.780605,0.069819,972,972,yes
0.493197,5.455574,0.029532,1764,1764,yes
0.696774,5.4967,0.024274,620,620,yes
0.240607,5.396646,0.032701,7772,7772,yes
0.688389,5.639129,0.021639,844,844,yes
0.222826,5.640585,0.022631,21528,21528,yes
0.533033,5.708761,0.021196,2664,2664,yes
0.432447,5.52784,0.025672,1880,1880,yes
0.697853,5.498652,0.025035,652,652,yes
0.42749,4.682114,0.129268,12288,12288,yes
0.302071,5.37266,0.034743,19992,19992,yes
0.537698,5.628349,0.023676,1512,1512,yes
0.772936,5.592303,0.022008,436,436,yes
0.448688,5.64732,0.022657,7620,7620,yes
1.095238,5.086975,0.021801,84,84,yes
0.335487,5.514388,0.029924,8048,8048,yes
0.378144,5.371977,0.033114,3340,3340,yes
1.03,5.025979,0.027071,100,100,yes
0.058784,5.565496,0.025223,376480,376480,yes
0.762136,5.55627,0.022547,412,412,yes
0.336491,5.342377,0.036864,8128,8128,yes
0.358514,5.490236,0.031019,5520,5520,yes
0.606145,5.427177,0.029101,716,716,yes
0.293392,5.198408,0.046484,16708,16708,yes
0.390664,5.449174,0.029552,3192,3192,yes
0.466849,5.720881,0.020974,5128,5128,yes
0.345088,5.637058,0.023024,26712,26712,yes
0.449243,5.650529,0.022756,7664,7664,yes
0.42153,5.314593,0.03482,2536,2536,yes
0.332509,5.482516,0.029228,4448,4448,yes
0.390783,5.652708,0.024021,8680,8680,yes
0.449627,5.373917,0.034294,2144,2144,yes
0.666189,5.84439,0.017991,1396,1396,yes
0.430362,5.172974,0.043303,1436,1436,yes
0.53423,5.645814,0.022359,3272,3272,yes
0.41636,4.923192,0.058671,1088,1088,yes
0.543963,5.469415,0.0274,1524,1524,yes
0.427461,5.253568,0.039402,1544,1544,yes
0.754274,5.526923,0.023317,468,468,yes
0.429356,5.643603,0.022656,8380,8380,yes
0.34626,5.661961,0.02364,21816,21816,yes
0.55951,5.651868,0.02193,3344,3344,yes
0.341172,5.371186,0.034384,2424,2424,yes
0.121534,5.396426,0.033623,25532,25532,yes
0.793367,5.545271,0.022431,392,392,yes
0.423475,5.337661,0.034756,3672,3672,yes
0.329517,5.405581,0.033455,6288,6288,yes
0.80814,5.629586,0.019764,344,344,yes
0.380991,5.546772,0.027417,4924,4924,yes
0.466426,5.458376,0.028873,1936,1936,yes
0.241512,5.425391,0.031191,10368,10368,yes
0.285761,5.33951,0.036673,9116,9116,yes
0.463446,5.449023,0.03243,1532,1532,yes
0.356223,5.367441,0.02999,932,932,yes
0.458774,5.361575,0.034059,1892,1892,yes
0.826613,5.457227,0.022104,248,248,yes
0.41451,5.543083,0.026117,2936,2936,yes
0.714063,5.594375,0.02256,640,640,yes
0.456795,5.513704,0.028305,2708,2708,yes
0.704861,5.49785,0.025036,576,576,yes
0.347818,5.384945,0.034903,10264,10264,yes
0.340064,5.643104,0.023101,30012,30012,yes
0.655039,5.487338,0.024054,516,516,yes
0.433873,5.430863,0.029722,2964,2964,yes
0.502864,5.580663,0.025589,4888,4888,yes
0.371343,5.646336,0.022818,16268,16268,yes
0.976563,5.178799,0.025468,128,128,yes
0.508377,5.63185,0.02267,3820,3820,yes
0.574013,5.50087,0.0264,1216,1216,yes
0.312379,5.403015,0.031873,8272,8272,yes
0.576923,5.515362,0.024839,728,728,yes
0.338512,5.449981,0.029994,7852,7852,yes
0.336538,5.564318,0.027796,7592,7592,yes
0.316396,5.520337,0.029372,7380,7380,yes
0.327135,5.429316,0.031144,8336,8336,yes
0.768293,5.582762,0.022171,492,492,yes
0.412757,5.143723,0.045528,1364,1364,yes
0.320693,5.392879,0.03229,6988,6988,yes
0.673387,5.501897,0.024932,744,744,yes
0.22279,5.558085,0.025522,34032,34032,yes
0.328125,5.493548,0.03016,5376,5376,yes
0.428944,5.462517,0.02938,3448,3448,yes
0.630787,5.595775,0.023344,864,864,yes
0.379707,5.36959,0.03516,10516,10516,yes
0.399827,5.345502,0.034875,4632,4632,yes
0.354082,5.61463,0.024033,19600,19600,yes
0.8375,5.537012,0.020397,240,240,yes
0.452851,5.453659,0.028474,1824,1824,yes
0.421371,5.479557,0.028,2480,2480,yes
0.233062,5.573997,0.027213,40028,40028,yes
0.683616,5.549415,0.024033,708,708,yes
0.283454,5.546971,0.029074,22180,22180,yes
0.726994,5.643742,0.021062,652,652,yes
0.40625,5.678768,0.022106,14528,14528,yes
0.9,5.20776,0.026258,160,160,yes
0.116318,5.384425,0.035002,130436,130436,yes
0.225862,5.366323,0.037815,97728,97728,yes
0.293827,5.500952,0.028291,3240,3240,yes
0.625,5.461963,0.027101,912,912,yes
0.301849,5.680007,0.021761,12112,12112,yes
0.388851,5.420039,0.030207,2960,2960,yes
0.450023,5.643713,0.022768,8644,8644,yes
0.444954,5.333788,0.035534,1744,1744,yes
0.277326,5.598588,0.024138,50136,50136,yes
0.585366,5.532895,0.027462,1476,1476,yes
0.528571,5.490455,0.027689,1680,1680,yes
0.341654,5.680527,0.022134,20632,20632,yes
0.699115,5.548508,0.022457,452,452,yes
